Gene	Meta program	Annotation
SPARC	4	Mesenchymal
MRC2	4	Mesenchymal
COL18A1	4	Mesenchymal
TENM3	4	Mesenchymal
FRMD4B	4	Mesenchymal
MITF	4	Mesenchymal
SLC35F1	4	Mesenchymal
CNTN1	4	Mesenchymal
PCSK2	4	Mesenchymal
NFIA	4	Mesenchymal
NEUROD1	4	Mesenchymal
ENPP2	4	Mesenchymal
TCF7L1	4	Mesenchymal
ST3GAL6	4	Mesenchymal
ITGA2	4	Mesenchymal
NRCAM	4	Mesenchymal
PHOX2B	4	Mesenchymal
CNTNAP2	4	Mesenchymal
RERG	4	Mesenchymal
NNMT	4	Mesenchymal
ZIC2	4	Mesenchymal
PALM2-AKAP2	4	Mesenchymal
NNAT	4	Mesenchymal
MME	4	Mesenchymal
APOE	4	Mesenchymal
PLP1	4	Mesenchymal
POTEF	4	Mesenchymal
IGFBP7	4	Mesenchymal
CCL2	4	Mesenchymal
NEXMIF	4	Mesenchymal
ELMO1	4	Mesenchymal
CALD1	4	Mesenchymal
RANBP3L	4	Mesenchymal
ZNF536	4	Mesenchymal
SH3GL2	4	Mesenchymal
CERKL	4	Mesenchymal
SOX6	4	Mesenchymal
LRRTM4	4	Mesenchymal
CITED1	4	Mesenchymal
SAMD4A	4	Mesenchymal
ARPP21	4	Mesenchymal
ARHGAP24	4	Mesenchymal
XKR4	4	Mesenchymal
NUAK1	4	Mesenchymal
SFRP1	4	Mesenchymal
MICAL2	4	Mesenchymal
KCNH7	4	Mesenchymal
HCN1	4	Mesenchymal
GEM	4	Mesenchymal
LETM2	4	Mesenchymal
COL4A1	4	Mesenchymal
BMP6	4	Mesenchymal
GKAP1	4	Mesenchymal
ANK2	4	Mesenchymal
CADM2	4	Mesenchymal
ANTXR1	4	Mesenchymal
VCAN	4	Mesenchymal
ECRG4	4	Mesenchymal
EYA1	4	Mesenchymal
C13orf42	4	Mesenchymal
OTX2	4	Mesenchymal
SERPINA5	4	Mesenchymal
SLCO1B7	4	Mesenchymal
BGN	4	Mesenchymal
SAT1	4	Mesenchymal
LEFTY2	4	Mesenchymal
SCRG1	4	Mesenchymal
HRH1	4	Mesenchymal
KIRREL1	4	Mesenchymal
NR2F1	4	Mesenchymal
EBF3	4	Mesenchymal
FAM230C	4	Mesenchymal
SORCS1	4	Mesenchymal
MGP	4	Mesenchymal
TNFRSF19	4	Mesenchymal
COL12A1	4	Mesenchymal
PDGFRA	4	Mesenchymal
PRR16	4	Mesenchymal
UGT3A1	4	Mesenchymal
COL1A2	4	Mesenchymal
CACNA1A	4	Mesenchymal
DCT	4	Mesenchymal
TGFB2	4	Mesenchymal
ELAVL4	4	Mesenchymal
SUSD4	4	Mesenchymal
SYNPR	4	Mesenchymal
COL6A1	4	Mesenchymal
PLCB4	4	Mesenchymal
LEF1	4	Mesenchymal
COL6A2	4	Mesenchymal
PDLIM3	4	Mesenchymal
TRPM1	4	Mesenchymal
ARNTL2	4	Mesenchymal
SORBS1	4	Mesenchymal
IL13RA2	4	Mesenchymal
FREM1	4	Mesenchymal
TRIM9	4	Mesenchymal
COL19A1	4	Mesenchymal
NTM	4	Mesenchymal
HAPLN1	4	Mesenchymal
NKAIN3	4	Mesenchymal
GBP1	4	Mesenchymal
RGS16	4	Mesenchymal
TYR	4	Mesenchymal
GPC4	4	Mesenchymal
XYLT1	4	Mesenchymal
OXCT1	4	Mesenchymal
GUCY1A1	4	Mesenchymal
ASCL1	4	Mesenchymal
GRM7	4	Mesenchymal
MS4A8	4	Mesenchymal
EDIL3	4	Mesenchymal
ADAMTSL1	4	Mesenchymal
SNED1	4	Mesenchymal
COL9A2	4	Mesenchymal
C1QL1	4	Mesenchymal
CCDC144NL-AS1	4	Mesenchymal
SLC2A3	4	Mesenchymal
RALYL	4	Mesenchymal
PTGFR	4	Mesenchymal
KC877982.1	4	Mesenchymal
FGFBP2	4	Mesenchymal
SPARCL1	4	Mesenchymal
SORCS3	4	Mesenchymal
ROCR	4	Mesenchymal
PTENP1-AS	4	Mesenchymal
MEST	4	Mesenchymal
ENOX1	4	Mesenchymal
NTRK3	4	Mesenchymal
FOXD3	4	Mesenchymal
HRK	4	Mesenchymal
HEG1	4	Mesenchymal
PMEL	4	Mesenchymal
PAPPA	4	Mesenchymal
TRPM3	4	Mesenchymal
LAMA1	4	Mesenchymal
PTH2R	4	Mesenchymal
SEZ6L	4	Mesenchymal
SYT4	4	Mesenchymal
EGFLAM	4	Mesenchymal
MYT1L	4	Mesenchymal
COL21A1	4	Mesenchymal
LIFR	4	Mesenchymal
TSPAN8	4	Mesenchymal
COL1A1	4	Mesenchymal
CDH18	4	Mesenchymal
ZFHX4	4	Mesenchymal
LRRC2	4	Mesenchymal
PPP1R14C	4	Mesenchymal
PRICKLE2	4	Mesenchymal
CDH12	4	Mesenchymal
CAVIN1	4	Mesenchymal
SULF2	4	Mesenchymal
CPE	4	Mesenchymal
SNTG2	4	Mesenchymal
MMP1	4	Mesenchymal
PHLDB2	4	Mesenchymal
GNG8	4	Mesenchymal
PCDH9	4	Mesenchymal
C5orf46	4	Mesenchymal
PMP22	4	Mesenchymal
SP8	4	Mesenchymal
RBP4	4	Mesenchymal
SERPINA3	4	Mesenchymal
TENM3-AS1	4	Mesenchymal
PCDH9-AS2	4	Mesenchymal
PDE1C	4	Mesenchymal
PPFIA2	4	Mesenchymal
CPXM2	4	Mesenchymal
ANO4	4	Mesenchymal
STK32B	4	Mesenchymal
BNC2	4	Mesenchymal
NTRK2	4	Mesenchymal
RASSF8	4	Mesenchymal
TSPAN7	4	Mesenchymal
AKAP6	4	Mesenchymal
TNC	4	Mesenchymal
SERPINA11	4	Mesenchymal
CCN2	4	Mesenchymal
KCNMA1	4	Mesenchymal
TOGARAM2	4	Mesenchymal
KCNT2	4	Mesenchymal
NES	4	Mesenchymal
IGFL4	4	Mesenchymal
ANOS1	4	Mesenchymal
GSG1L	4	Mesenchymal
CYTH3	4	Mesenchymal
GFRA1	4	Mesenchymal
FABP7	4	Mesenchymal
LAMA4	4	Mesenchymal
IGF1	4	Mesenchymal
ST5	4	Mesenchymal
FLG-AS1	4	Mesenchymal
RSPO3	4	Mesenchymal
PDE4B	4	Mesenchymal
SCN7A	4	Mesenchymal
AFF3	4	Mesenchymal
PCOLCE	4	Mesenchymal
CLVS2	4	Mesenchymal
RYR2	4	Mesenchymal
AGBL1	4	Mesenchymal
LHX1	4	Mesenchymal
PLPPR4	4	Mesenchymal
ANKRD33B	4	Mesenchymal
SEMA5B	4	Mesenchymal
