LUM	SQM	BSL	NEC	MES	NRP 	CYG	Mesenchymal	Cycle	Interferon	Stress_Barkley	Hypoxia	Interferon_MHC-II-I	Stress_Gavish	EMT-I	MP7	Subtype-N	Subtype-P	Oxidative_phosphorylation 	Cytokines_and_inflammatory_response	Interferon_gamma_response	Regulation_of_autophagy
				CYR61	WDR72	TTK		CDCA3	HLA-C	CXCL8		SOD2	HERPUD1	FBLN1		CELF5	CCDC106	NDUFS8		FAS	
				COMP	ACSS3	KIF15		CDCA4	HLA-DMA	CYP1B1		GBP2	PLK2	IGFBP4		CERKL	CCDC115	NDUFV2		FCGR1A	
				TIMP1	ONECUT1	CDCA3		CDCA5	HLA-DMB	CYR61		HLA-A	DNAJA1	POSTN		CHD5	CD81	NDUFV3		FGL2	
				COL15A1	NRP1	CENPI		CDCA7	HLA-DPA1	DAPP1		CXCL10	HSPA6	RARRES2		CHODL	CDC42EP1	ATP5F1A		FPR1	
				FLNA	AKAP7	CKAP2L		CDCA8	HLA-DPB1	DEPP1		HLA-DQA1	PMAIP1	SERPING1		CHRNA1	CELF2	ATP5F1B		CMTR1	
				TCF4	LDLRAD4	TACC3		CDK1	HLA-DQA1	DNAJA1		PARP9	CITED2	SNAI2		CHRNA3	CHAT	ATP5F1D		GBP4	
				A2M	AC012593.1	UBE2C		CDKN3	HLA-DQA2	DNAJA4		B2M	ID3	TCF4		CHRNB4	CHDH	ATP5F1E		GBP6	
				FBLN1	CALN1	DIAPH3		CDT1	HLA-DQB1	DNAJB1						CLIP3	CHPT1	ATP5PB		GCH1	
				DNM3OS	UGT2B15	CDCA8		CENPA	HLA-DRA	DNAJB4						CLIP4	CHRDL1	ATP5MC1		GPR18	
				C1R	AGBL4	NEIL3		CENPE	HLA-DRB1	DSC3						CLVS2	CHRM1	ATP5MC2		GZMA	
				TUBA1A	GLIS3	GPSM2		CENPF	HLA-DRB5	DUSP1						CNRIP1	CHRNA7	ATP5MC3		HERC6	
				APOD	TRPV6	TICRR		CENPH	HLA-E	DUSP10						CNTFR	CHST3	ATP5ME		HIF1A	
				EGFL7	ABCB1	SMC4		CENPK	HLA-F	DUSP14						CNTN2	CHST6	ATP5PF		HLA-A	
				PDLIM3	PLXDC2	APOLD1		CENPM	HSPB8	DUSP2						COCH	CHST9	ATP6AP1		HLA-B	
				IGLC2	NLGN4Y	MELK		CENPN	ICAM1	DUSP5						CPNE4	CLEC17A	ATP5PO		HLA-DMA	
				IGLC3	NEK10	LMNB1		CENPU	IDO1	EDN1						CRABP1	CNIH3	NDUFA4L2		HLA-DQA1	
				LAMA2	TACC1	BORA		CENPW	IFI16	EFNA1						CUX2	CNP	ATP5MF		HLA-DRB1	
				IGHGP	HOMER2	ECT2		CEP55	IFI27	EGR1						CYP26A1	COL15A1			HLA-G	
				FBXL7	SNAP25	NCAPH		CHAF1A	IFI35	EGR2						CYYR1	COL27A1			ICAM1	
				INHBA	SCTR	CDKN3		CHEK1	IFI44	EGR3						DACH1	COL2A1			IDO1	
				GGT5	SLC2A2	POLQ		CKAP2	IFI44L	EHF						DACT1	COL6A2			IFI27	
				RARRES2	MIR99AHG	ESPL1		CKAP2L	IFI6	EIF4A2						DCC	COL9A3			IFI30	
				PDGFRA	TRABD2B	INCENP		CKAP5	IFIH1	ELF3						DCLK3	CORO2B			IFI35	
				EDNRA	NR5A2	AURKB		CKLF	IFIT1	EMP1						DCX	CPB1			IFI44	
				COL6A1	FAM135B	KIFC1		CKS1B	IFIT2	EPHA2						DDX3Y	CPNE7			IFI44L	
				GNG11	FGG	PARPBP		CKS2	IFIT3	EREG						DLG4	CPT1A			IFIH1	
				CNN1	DCDC2	PLK1		CLSPN	IFITM1	ERRFI1						DLX2	CRIM1			IFIT1	
				IGFBP7	SYNE1	STIL		CMC2	IFITM2	ETS2						DPF3	CRYM			IFIT2	
				MFAP4	CRISP2	PBK		CNIH4	IFITM3	FADS3						DPP6	CSK			IFIT3	
				ADAMTS2	SEMA5A	CCDC18		CRNDE	IL32	FAM133B						DUSP26	CSRP2			IFITM2	
				CD93	BICC1	CKAP5		DBF4	IRF1	FAM46A						EBF1	CTAGE4			IFITM3	
				FSTL1	TNS1	SCLT1		DDX39A	IRF7	FAM53C						EBF3	CUBN			IFNAR2	
				PXDN	CHST9	CCDC150		DEK	ISG15	FGFR3						EFNB3	CYGB			IL10RA	
				SPON2	NCAM1	KPNA2		DEPDC1	ISG20	FHL2						ELAVL2	DDN			IL15	
				SFRP4	RORA	PTTG1		DEPDC1B	KLHDC7B	FKBP4						ELAVL3	DHRS2			IL15RA	
				COL4A2	ADAMTS9-AS2	CDC20		DHFR	LAMP3	FOS						EML6	DIXDC1			IL18BP	
				SERPINF1	APCS	BIRC5		DIAPH3	LAP3	FOSB						EPB41L3	DLC1			IL2RB	
				GPNMB	MUM1L1	OTUD7A		DLGAP5	LGALS3BP	FOSL1						EVL	DLG2			IL4R	
				COL5A2	SETBP1	KNSTRN		DNAJC9	LGALS9	FOSL2						EYA2	DUSP9			IL6	
				CD81	NRCAM	NEK2		DNMT1	LY6E	FRMD4B						FAIM2	EFHD1			IL7	
				TIMP3	CFAP221	DBF4B		DONSON	MDK	FUS						FAM131B	EFNA4			IRF1	
				SLC11A1	ATP13A4	PSRC1		DSN1	MSRB1	GADD45A						FAM20C	EFNB2			IRF2	
				RGS1	LIN7A	SHCBP1		DTL	MX1	GADD45B						FGF5	EHF			IRF4	
				APOE	TTC28	LINC01572		DTYMK	MX2	GADD45G						FHL1	ELMOD1			IRF5	
				ID3	STXBP6	NCAPD2		DUT	NNMT	GDF15						FLRT1	EMILIN3			IRF7	
				MT-CO3	KCTD16	CENPA		E2F1	NT5C3A	GEM						FNDC5	EN1			IRF8	
				GCG	NR2F2-AS1	MIS18BP1		ECT2	NUB1	GOLGB1						FOXG1	EN2			IRF9	
				LRRC32	DOCK8	C21orf58		EZH2	OAS1	HBEGF						FRMD6	ENPP6			ISG15	
