	0
1058	PPIAL4H
1059	HELZ2
1060	LRIT1
1061	BTBD2
1062	FMO3
1063	E2F3
1064	CAMSAP1
1065	ZSCAN31
1066	EXT2
1067	OR2J2
1068	VPS45
1069	ENPEP
1070	EEF2K
1071	MYH11
1072	TEK
1073	PDLIM7
1074	PPT2
1075	COX4I1
1076	GPR132
1077	KHSRP
1078	LNX1
1079	SERP1
1080	CPT1B
1081	SPX
1082	TPI1
1083	DDA1
1084	OR10G7
1085	VASN
1086	C13orf42
1087	GTF2F2
1088	TNNI1
1089	CLDN10
1090	ATP2A1
1091	ATP5IF1
1092	DEFB136
1093	CSRP3
1094	ZSWIM7
1095	DUOXA2
1096	PRRC2C
1097	EFHD1
1098	NIPSNAP3A
1099	NELL2
1100	MDM1
1101	ANKRD53
1102	PAPSS2
1103	KRT3
1104	GATM
1105	ROS1
1106	CTSW
1107	ULK4
1108	IL5RA
1109	RBM42
1110	FUT2
1111	CEMIP2
1112	PLA2G7
1113	BPIFB3
1114	NAB2
1115	DAXX
1116	NR5A1
1117	PPM1B
1118	PRSS58
1119	GUCA1B
1120	NDUFB11
1121	TAFA5
1122	TMEM104
1123	DAPL1
1124	KRTAP1-1
1125	PLCE1
1126	HARS2
1127	FLNB
1128	LHFPL3
1129	FAM210B
1130	CRABP1
1131	RBMX
1132	ATF7IP
1133	PARP3
1134	SIT1
1135	ALK
1136	S1PR4
1137	ETHE1
1138	WHRN
1139	FOXP1
1140	CLIP4
1141	SEC31A
1142	SULT1E1
1143	LARP1
1144	CIZ1
1145	OR1L1
1146	UBR5
1147	BFSP2
1148	MNAT1
1149	TEAD1
1150	WTIP
1151	KRIT1
1152	SMIM8
1153	PROM1
1154	ARHGEF3
1155	ACCSL
1156	ZFP69B
1157	LZTS3
1158	SYNJ2
1159	USF3
1160	RPH3A
1161	FAM210A
1162	RIPPLY2
1163	ALKAL1
1164	MYH13
1165	CCDC198
1166	PIP5K1C
1167	PLPPR4
1168	CFAP43
1169	TRDMT1
1170	MOGAT3
1171	FAM172A
1172	UGT2B17
1173	MAT2B
1174	SERP2
1175	APP
1176	TMEM233
1177	H6PD
1178	OSTF1
1179	TTC30A
1180	NPIPA2
1181	SCN9A
1182	REG1A
1183	CSRNP1
1184	SMIM6
1185	RBM15B
1186	SPG11
1187	STAT5A
1188	BTNL3
1189	KCNAB3
1190	HAS1
1191	NOP53
1192	PLEKHG6
1193	ABO
1194	ZNF543
1195	ERGIC3
1196	ANKK1
1197	KRTAP3-1
1198	MYBPH
1199	F11R
1200	NME2
1201	TJP2
1202	ADRM1
1203	PRAG1
1204	TMC3
1205	PIM1
1206	SV2C
1207	PCBD1
1208	ZNF429
1209	AP3S2
1210	SYTL2
1211	BMP15
1212	TSHR
1213	BEX1
1214	RNF7
1215	LSM4
1216	SLC46A1
1217	KRTAP4-6
1218	SP4
1219	LUZP1
1220	ZNF28
1221	NPAS4
1222	KRT2
1223	DDX25
1224	CLNS1A
1225	RFPL4AL1
1226	CAPN12
1227	OMG
1228	HNRNPAB
1229	SAP30BP
1230	POC5
1231	ADCY7
1232	PRM1
1233	CPA5
1234	SPAG17
1235	MAP7D3
1236	KCNG1
1237	RNF146
1238	SMIM18
1239	HPS3
1240	SLC5A7
1241	COMMD10
1242	POLR2D
1243	ZNF383
1244	FARS2
1245	SPCS1
1246	TNFRSF1A
1247	AK3
1248	COL21A1
1249	MIDN
1250	OR7A10
1251	TTC36
1252	SPTBN4
1253	PKN2
1254	ZNF66
1255	ZNF131
1256	SAT1
1257	SNX8
1258	C15orf39
1259	C1QTNF8
1260	RNF19B
1261	CABYR
1262	RPA3
1263	SKOR2
1264	WDR31
1265	SSNA1
1266	ZNF710
1267	ZSCAN32
1268	DUSP2
1269	DOK2
1270	SAMHD1
1271	ZSCAN26
1272	WNT10A
1273	NAA38
1274	MEF2C
1275	KLHL11
1276	RTF1
1277	SERPINB10
1278	ACER1
1279	ARSH
1280	CLCN4
1281	NR2C2
1282	FAM71E1
1283	LRR1
1284	FRG2C
1285	SEC11C
1286	CLEC17A
1287	ZNF648
1288	BSCL2
1289	ACAN
1290	GTF2I
1291	SEC14L3
1292	RP1
1293	FOXC2
1294	AJM1
1295	ZWILCH
1296	GPSM3
1297	SFXN3
1298	AMY1B
1299	PRDX5
1300	MBLAC2
1301	BCL6B
1302	MOK
1303	COL10A1
1304	STX12
1305	SLC10A5
1306	MUC17
1307	ELMO2
1308	ACTR2
1309	FAM149B1
1310	KLHL3
1311	PIP
1312	PLA2G5
1313	MTA3
1314	WDR73
1315	MRGPRX1
1316	KRCC1
1317	CFAP47
1318	ETS1
1319	SNX3
1320	TRPC4AP
1321	ZCCHC7
1322	AKR1E2
1323	SRPK3
1324	MORN2
1325	PTGR2
1326	EIF3C
1327	INPPL1
1328	RAB8A
1329	FMR1
1330	CLVS2
1331	PROKR1
1332	MLNR
1333	USP11
1334	CT45A5
1335	METTL24
1336	MROH7
1337	NMUR2
1338	CNP
1339	C17orf49
1340	BTG4
1341	LRAT
1342	LRRC28
1343	NDUFC1
1344	TUBB
1345	ZBED8
1346	LALBA
1347	TNC
1348	COL4A3
1349	SIGLEC11
1350	PCARE
1351	TBC1D3L
1352	ACACA
1353	SHISAL1
1354	ADAMTSL1
1355	THAP12
1356	CLEC7A
1357	RNF8
1358	ZKSCAN7
1359	PFDN6
1360	DACH2
1361	KANSL1
1362	CDKL1
1363	TVP23A
1364	KRTAP2-4
1365	ARHGEF10
1366	ZNF703
1367	BCAR1
1368	CKAP2
1369	IGDCC4
1370	FAM227A
1371	PTPRH
1372	CATSPERE
1373	GRSF1
1374	MTMR8
1375	NCF4
1376	NPIPA1
1377	PCCB
1378	KCNH2
1379	ZNF581
1380	CD244
1381	LRRC17
1382	NMT2
1383	FAM185A
1384	ZNF836
1385	RIOX1
1386	SEZ6L2
1387	CC2D2A
1388	SDF2
1389	SHOX
1390	SUMF2
1391	CD300LB
1392	C17orf67
1393	OR3A2
1394	SLC22A13
1395	PCDHA11
1396	ESYT2
1397	PEX5
1398	PIKFYVE
1399	OPN5
1400	TMEM269
1401	AUNIP
1402	MGA
1403	NECAP1
1404	TEX30
1405	NQO2
1406	SLC9A9
1407	ORC2
1408	SLC36A1
1409	TLN2
1410	FCAMR
1411	CRYGN
1412	TRERF1
1413	SYAP1
1414	BHLHA15
1415	OR56B1
1416	MAP2K5
1417	LIX1L
1418	BIVM
1419	TAMM41
1420	DEFB133
1421	RCCD1
1422	TMEM140
1423	PHLDB2
1424	UBE2M
1425	RAB27A
1426	C11orf65
1427	TXLNG
1428	ACOT11
1429	ZNF548
1430	DNAL1
1431	OMA1
1432	ZSCAN16
1433	CARD8
1434	ZNF692
1435	AMZ1
1436	TMEM236
1437	CCNYL1
1438	SPATA12
1439	CDKL5
1440	LIPN
1441	DYNC1I1
1442	AKAP14
1443	KRT35
1444	ARPC3
1445	PFKL
1446	TIGIT
1447	NHS
1448	DDX20
1449	NUP205
1450	SKAP1
1451	TRHR
1452	HAVCR1
1453	SPATA9
1454	DEXI
1455	AP1M2
1456	SV2B
1457	SRPK1
1458	SGPP1
1459	UBXN4
1460	RNF208
1461	SPRYD4
1462	SRD5A3
1463	TXNL4B
1464	GART
1465	CLIC5
1466	COMMD1
1467	CMPK1
1468	ISL1
1469	LEMD2
1470	MYB
1471	PPIP5K2
1472	EPHX2
1473	NUP62CL
1474	WDPCP
1475	TTPAL
1476	CCL13
1477	CLEC4M
1478	FBXO5
1479	ZNF76
1480	NPRL2
1481	EPB42
1482	CBFA2T2
1483	CXorf21
1484	TMEM69
1485	CDC40
1486	CAV3
1487	HIVEP2
1488	NCCRP1
1489	UHRF1
1490	DNAJC9
1491	OR13C5
1492	TNFSF4
1493	CDC37L1
1494	CHD4
1495	KRTAP10-11
1496	OR2T11
1497	RCN2
1498	CLEC4A
1499	GPR52
1500	IRF8
1501	SERPINA10
1502	ZNF229
1503	BIN1
1504	SURF4
1505	SYT8
1506	FBXW12
1507	DEDD2
1508	OR2T33
1509	ASTN1
1510	FAM200A
1511	MID2
1512	SH2B1
1513	HOXC4
1514	OR5M11
1515	TIMP2
1516	HID1
1517	PLXNA2
1518	CPLX1
1519	ZDHHC8
1520	COG4
1521	MYOCOS
1522	ATP5F1D
1523	ZNF789
1524	CBX3
1525	TOP1MT
1526	CST4
1527	RHOC
1528	UQCRH
1529	DUOX1
1530	ANKRD13B
1531	OR2H1
1532	PFKFB2
1533	ADORA2A
1534	PCK2
1535	POLR3E
1536	MAPKBP1
1537	GPR158
1538	TMEM150B
1539	HNRNPK
1540	SYNE4
1541	BCL2
1542	MC3R
1543	OR51D1
1544	YBEY
1545	DLGAP1
1546	FBXO39
1547	MAPKAPK2
1548	CMTM2
1549	TMEM198
1550	METTL4
1551	DGUOK
1552	EVC
1553	CORO2A
1554	PRTG
1555	KDELR1
1556	IDH3G
1557	PLEKHG5
1558	SETD7
1559	MEOX1
1560	ANAPC4
1561	NRXN2
1562	MORC1
1563	USP8
1564	GAD2
1565	CLUL1
1566	TACC1
1567	CEND1
1568	EML2
1569	HTR1A
1570	DBNL
1571	IRGM
1572	ANKRD44
1573	PBDC1
1574	ANKIB1
1575	PCDHA2
1576	ZNF737
1577	DUSP13
1578	TGM2
1579	CACNB3
1580	BANF2
1581	APOA2
1582	SRPX
1583	TBC1D9
1584	INAFM1
1585	NUP160
1586	ZNF705E
1587	ARHGEF12
1588	RAD54B
1589	GSTM2
1590	TMEM135
1591	PKIB
1592	UGT1A1
1593	HCCS
1594	UACA
1595	MAML2
1596	METTL6
1597	APOBEC2
1598	CEP128
1599	CHCHD2
1600	CTAGE1
1601	EIF4E1B
1602	LYRM2
1603	HOXD13
1604	PRKCD
1605	PSMB3
1606	RBM39
1607	LCMT2
1608	NAA10
1609	NGFR
1610	PRSS38
1611	RPAP3
1612	SPINT3
1613	DHX38
1614	SYVN1
1615	EID3
1616	TGFBI
1617	UBOX5
1618	MFSD14B
1619	NRBF2
1620	VSIR
1621	BRINP1
1622	TEX11
1623	DONSON
1624	NUTM2F
1625	C12orf75
1626	DTX4
1627	SCTR
1628	KRT27
1629	TOX
1630	TMIE
1631	B3GLCT
1632	CEP76
1633	SLC15A4
1634	GPT2
1635	LEMD3
1636	NPLOC4
1637	GRIFIN
1638	RUFY2
1639	SPATA16
1640	TAF11
1641	ZBTB5
1642	GRB10
1643	DAG1
1644	PLK2
1645	PPM1D
1646	LRRC45
1647	VTI1B
1648	APCS
1649	PRMT1
1650	PARD6A
1651	C2orf66
1652	EFEMP1
1653	TRAPPC5
1654	SLC25A42
1655	PLCD4
1656	GUF1
1657	NDUFAF4
1658	RHOBTB2
1659	SUCLG1
1660	APRT
1661	EMC10
1662	SLC2A11
1663	ECPAS
1664	ROBO4
1665	NIPA2
1666	CHGB
1667	TMEM150A
1668	POU3F3
1669	SPATA31D1
1670	ADIG
1671	QSOX1
1672	RAB41
1673	TRIM6
1674	MYT1L
